Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
2013-01-05,5,January,2013,54,Adults (35-64),F,United States,Washington,Accessories,Bottles and Cages,Mountain Bottle Cage,21,4,10,80,84,164,Small,Red,Steel,Lifetime,Manufacturer C,3,3.09,9,13,True,82.79,DHL,Same Day,,30 Days
2013-06-06,6,June,2013,43,Adults (35-64),F,United States,Washington,Clothing,Shorts,"Women's Mountain Shorts, S",9,26,70,257,234,491,Large,Red,Aluminum,1 Year,Manufacturer B,5,7.67,6,24,False,78.89,GLS,Next Day,Premium,30 Days
2013-12-16,16,December,2013,37,Adults (35-64),M,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,24,7,9,46,168,214,Small,Blue,Aluminum,1 Year,Manufacturer C,3,13.13,9,28,False,45.53,GLS,Express,Basic,7 Days
2013-01-24,24,January,2013,36,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,205,713,918,Extra Large,Black,Carbon Fiber,3 Years,Manufacturer A,2,14.85,5,12,False,36.63,GLS,Express,Premium,7 Days
2013-03-08,8,March,2013,40,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,188,420,608,Medium,Blue,Steel,2 Years,Manufacturer B,3,7.98,6,3,True,31.73,FedEx,Next Day,Premium,30 Days
2013-06-04,4,June,2013,31,Young Adults (25-34),M,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-500 Silver, 52",1,308,565,217,308,525,Small,White,Carbon Fiber,3 Years,Manufacturer D,1,8.78,8,23,True,93.33,UPS,Express,Premium,30 Days
2013-06-28,28,June,2013,37,Adults (35-64),F,Australia,Victoria,Accessories,Tires and Tubes,LL Mountain Tire,15,9,25,161,135,296,Large,Green,Plastic,2 Years,Manufacturer C,1,13.49,4,14,False,39.9,FedEx,Standard,Premium,60 Days
2013-05-19,19,May,2013,38,Adults (35-64),M,Germany,Nordrhein-Westfalen,Clothing,Vests,"Classic Vest, M",6,24,64,190,144,334,Medium,Green,Carbon Fiber,Lifetime,Manufacturer D,4,12.77,9,27,False,5.96,DHL,Same Day,Basic,30 Days
2013-07-31,31,July,2013,19,Youth (<25),F,United States,Washington,Clothing,Caps,AWC Logo Cap,16,7,9,0,112,112,Small,Black,Aluminum,Lifetime,Manufacturer D,5,11.13,5,9,False,28.63,Posti,Standard,Premium,No Return
2013-05-17,17,May,2013,35,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,25,2,5,73,50,123,Large,White,Carbon Fiber,3 Years,Manufacturer B,1,13.17,7,15,True,74.96,GLS,Next Day,Basic,7 Days
2013-05-01,1,May,2013,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,Small,Red,Steel,3 Years,Manufacturer D,4,13.54,7,29,True,11.41,Posti,Express,Basic,60 Days
2013-01-12,12,January,2013,29,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120,362,713,1075,Medium,Red,Carbon Fiber,1 Year,Manufacturer B,4,1.91,6,1,False,77.94,FedEx,Next Day,,60 Days
2013-11-21,21,November,2013,28,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,745,1252,1997,Medium,Green,Aluminum,Lifetime,Manufacturer A,1,1.95,7,23,True,46.83,GLS,Standard,Basic,30 Days
2013-03-03,3,March,2013,44,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,35,24,59,Small,Black,Carbon Fiber,1 Year,Manufacturer B,2,2.39,3,17,True,56.64,DHL,Next Day,Basic,30 Days
2013-08-26,26,August,2013,42,Adults (35-64),F,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",4,38,50,46,152,198,Large,White,Aluminum,1 Year,Manufacturer C,4,12.36,6,13,False,66.55,GLS,Same Day,Basic,7 Days
2013-04-03,3,April,2013,25,Young Adults (25-34),F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",1,42,54,1,42,43,Small,Black,Aluminum,Lifetime,Manufacturer C,4,7.72,1,13,False,53.51,FedEx,Standard,Basic,30 Days
2013-07-19,19,July,2013,39,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,18,19,37,Small,Black,Plastic,1 Year,Manufacturer D,2,7.48,7,15,False,50.47,Posti,Standard,,60 Days
2013-06-09,9,June,2013,22,Youth (<25),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,11,16,27,Extra Large,Green,Aluminum,1 Year,Manufacturer D,4,14.42,7,10,True,82.03,DHL,Same Day,Premium,No Return
2013-03-05,5,March,2013,34,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Tires and Tubes,LL Road Tire,8,8,21,74,64,138,Extra Large,Red,Carbon Fiber,1 Year,Manufacturer B,3,14.38,3,27,True,42.99,GLS,Standard,Premium,30 Days
2013-06-28,28,June,2013,36,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-650 Red, 60",2,487,783,482,974,1456,Extra Large,White,Carbon Fiber,Lifetime,Manufacturer B,4,10.27,2,24,True,49.87,UPS,Express,,7 Days
2013-11-11,11,November,2013,33,Young Adults (25-34),M,United States,Washington,Clothing,Shorts,"Women's Mountain Shorts, S",14,26,70,400,364,764,Large,White,Carbon Fiber,1 Year,Manufacturer C,2,3.07,8,12,False,21.5,UPS,Express,Basic,60 Days
2013-06-14,14,June,2013,38,Adults (35-64),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",2,13,35,41,26,67,Large,Red,Aluminum,Lifetime,Manufacturer B,2,13.38,7,9,True,28.99,UPS,Next Day,Premium,7 Days
2013-03-06,6,March,2013,43,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,HL Mountain Tire,17,13,35,249,221,470,Large,White,Plastic,2 Years,Manufacturer D,1,2.37,5,28,False,23.62,UPS,Same Day,Basic,60 Days
2013-07-24,24,July,2013,18,Youth (<25),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,47,32,79,Large,Green,Steel,1 Year,Manufacturer D,4,9.79,5,16,False,56.69,Posti,Express,Basic,60 Days
2013-04-15,15,April,2013,42,Adults (35-64),M,Australia,Victoria,Accessories,Fenders,Fender Set - Mountain,9,8,22,84,72,156,Large,Blue,Carbon Fiber,1 Year,Manufacturer C,2,13.25,2,4,False,79.69,Posti,Same Day,Premium,60 Days
2013-10-12,12,October,2013,52,Adults (35-64),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",3,13,35,62,39,101,Extra Large,Red,Carbon Fiber,2 Years,Manufacturer D,4,10.17,1,14,True,15.84,GLS,Express,,No Return
2013-02-13,13,February,2013,63,Adults (35-64),F,Germany,Saarland,Accessories,Tires and Tubes,Mountain Tire Tube,8,2,5,17,16,33,Large,Black,Plastic,3 Years,Manufacturer A,2,11.73,1,11,True,67.1,GLS,Next Day,,No Return
2013-12-29,29,December,2013,19,Youth (<25),M,Germany,Saarland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,32,30,62,Extra Large,Black,Aluminum,3 Years,Manufacturer C,1,11.25,7,15,False,90.12,DHL,Standard,Basic,30 Days
2013-03-01,1,March,2013,33,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1994,2504,4498,Extra Large,Red,Carbon Fiber,Lifetime,Manufacturer A,1,1.4,6,27,True,96.18,FedEx,Next Day,,No Return
2013-11-18,18,November,2013,21,Youth (<25),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Red",22,13,35,315,286,601,Medium,Red,Steel,1 Year,Manufacturer C,1,11.94,7,28,True,32.4,DHL,Express,Basic,30 Days
2013-11-11,11,November,2013,25,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,1,1,2,Medium,Blue,Steel,3 Years,Manufacturer D,2,0.9,7,18,False,90.73,Posti,Same Day,Basic,7 Days
2013-02-03,3,February,2013,26,Young Adults (25-34),M,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,1,7,9,1,7,8,Large,Blue,Plastic,2 Years,Manufacturer B,1,9.01,2,10,False,94.97,FedEx,Same Day,,No Return
2013-08-06,6,August,2013,30,Young Adults (25-34),F,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,24,8,22,331,192,523,Small,Red,Carbon Fiber,Lifetime,Manufacturer A,3,6.51,9,21,True,90.68,Posti,Same Day,,No Return
2013-07-10,10,July,2013,27,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,942,2171,3113,Medium,Green,Aluminum,1 Year,Manufacturer A,1,6.26,8,16,True,29.68,DHL,Next Day,,30 Days
2013-07-10,10,July,2013,29,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,30,20,50,Large,Blue,Steel,1 Year,Manufacturer B,1,7.45,1,17,False,64.23,GLS,Same Day,,No Return
2013-09-12,12,September,2013,26,Young Adults (25-34),F,Australia,Victoria,Accessories,Hydration Packs,Hydration Pack - 70 oz.,17,21,55,382,357,739,Large,Red,Carbon Fiber,1 Year,Manufacturer C,4,1.93,7,26,True,33.49,DHL,Same Day,,No Return
2013-09-22,22,September,2013,25,Young Adults (25-34),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Red, 48",3,1519,2443,2259,4557,6816,Extra Large,Red,Carbon Fiber,3 Years,Manufacturer C,4,7.88,3,4,False,82.04,DHL,Same Day,Premium,7 Days
2013-12-18,18,December,2013,41,Adults (35-64),F,France,Nord,Clothing,Gloves,"Half-Finger Gloves, S",26,9,24,309,234,543,Extra Large,White,Aluminum,3 Years,Manufacturer C,3,10.24,7,27,False,9.51,FedEx,Standard,,30 Days
2013-09-21,21,September,2013,38,Adults (35-64),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,5,4,9,Medium,Red,Plastic,1 Year,Manufacturer C,1,4.59,9,18,False,65.68,FedEx,Same Day,Basic,60 Days
2013-12-12,12,December,2013,26,Young Adults (25-34),M,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,13,1,2,8,13,21,Large,White,Aluminum,Lifetime,Manufacturer B,5,12.06,6,4,False,22.87,DHL,Same Day,,60 Days
2013-12-25,25,December,2013,29,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,LL Road Tire,24,8,21,302,192,494,Small,Blue,Carbon Fiber,3 Years,Manufacturer B,3,2.24,2,9,False,30.34,Posti,Standard,Basic,7 Days
2013-01-20,20,January,2013,60,Adults (35-64),F,Germany,Bayern,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,6,4,10,Extra Large,Red,Carbon Fiber,Lifetime,Manufacturer D,2,11.16,3,13,True,55.79,Posti,Same Day,Basic,60 Days
2013-12-09,9,December,2013,35,Adults (35-64),M,Australia,Victoria,Clothing,Caps,AWC Logo Cap,12,7,9,1,84,85,Small,White,Steel,2 Years,Manufacturer B,3,7.22,1,12,False,45.94,GLS,Next Day,Premium,60 Days
2013-06-20,20,June,2013,30,Young Adults (25-34),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Black",16,13,35,234,208,442,Medium,Red,Steel,Lifetime,Manufacturer D,4,7.24,3,22,False,60.71,DHL,Next Day,Premium,30 Days
2013-12-24,24,December,2013,38,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,3,2,5,9,6,15,Large,Black,Plastic,2 Years,Manufacturer C,3,10.17,1,8,True,49.36,DHL,Next Day,Basic,30 Days
2013-12-31,31,December,2013,27,Young Adults (25-34),M,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,33,30,63,Medium,Blue,Plastic,Lifetime,Manufacturer D,5,12.57,3,26,True,58.57,Posti,Standard,,30 Days
2013-08-26,26,August,2013,21,Youth (<25),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",21,13,35,455,273,728,Small,Red,Carbon Fiber,1 Year,Manufacturer A,1,7.42,6,22,True,16.77,FedEx,Standard,Basic,60 Days
2013-04-25,25,April,2013,17,Youth (<25),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",16,42,54,11,672,683,Extra Large,White,Aluminum,Lifetime,Manufacturer A,5,5.77,8,6,False,83.26,Posti,Same Day,Basic,60 Days
2013-06-04,4,June,2013,44,Adults (35-64),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,1266,2320,2062,2532,4594,Small,Green,Plastic,1 Year,Manufacturer B,5,6.66,6,2,False,78.0,UPS,Same Day,Basic,7 Days
2013-03-04,4,March,2013,32,Young Adults (25-34),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, L",1,9,24,10,9,19,Medium,Green,Aluminum,Lifetime,Manufacturer A,5,8.01,6,24,False,23.57,GLS,Next Day,Basic,30 Days
2013-06-14,14,June,2013,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,35,24,59,Medium,Black,Steel,Lifetime,Manufacturer C,4,2.56,2,17,False,9.12,Posti,Next Day,Premium,30 Days
2013-05-26,26,May,2013,31,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,3,6,9,Extra Large,Blue,Carbon Fiber,1 Year,Manufacturer C,4,8.82,7,1,True,99.07,UPS,Standard,Premium,7 Days
2013-04-10,10,April,2013,19,Youth (<25),F,Germany,Hessen,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,18,21,39,Large,Red,Steel,3 Years,Manufacturer C,4,0.82,9,10,True,10.94,FedEx,Next Day,,60 Days
2013-03-30,30,March,2013,21,Youth (<25),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,570,1555,2125,Medium,Blue,Steel,1 Year,Manufacturer A,2,1.3,3,1,True,81.91,Posti,Same Day,Basic,7 Days
2013-02-04,4,February,2013,48,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,8,11,19,Medium,Red,Carbon Fiber,1 Year,Manufacturer B,2,10.75,7,23,True,85.78,FedEx,Next Day,Basic,7 Days
2013-02-08,8,February,2013,31,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",22,13,35,453,286,739,Small,Red,Plastic,3 Years,Manufacturer D,2,4.1,6,15,True,33.35,GLS,Express,,60 Days
2013-05-15,15,May,2013,40,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,55,38,93,Small,Black,Steel,3 Years,Manufacturer D,4,4.19,2,24,True,56.25,FedEx,Standard,,7 Days
2013-10-26,26,October,2013,20,Youth (<25),M,United States,Washington,Clothing,Shorts,"Women's Mountain Shorts, L",9,26,70,257,234,491,Small,Red,Steel,3 Years,Manufacturer D,3,2.77,8,10,True,81.54,Posti,Express,,60 Days
2013-11-30,30,November,2013,36,Adults (35-64),F,United States,California,Clothing,Caps,AWC Logo Cap,27,7,9,49,189,238,Extra Large,Blue,Carbon Fiber,1 Year,Manufacturer C,5,11.25,5,0,False,40.33,GLS,Standard,Premium,60 Days
2013-03-13,13,March,2013,18,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,7,2,5,21,14,35,Small,White,Plastic,2 Years,Manufacturer C,4,13.25,2,10,True,19.02,Posti,Standard,,60 Days
2013-12-15,15,December,2013,33,Young Adults (25-34),M,Australia,Tasmania,Accessories,Tires and Tubes,LL Road Tire,10,8,21,90,80,170,Small,Black,Carbon Fiber,1 Year,Manufacturer C,4,4.27,5,13,True,96.77,Posti,Standard,,7 Days
2013-05-12,12,May,2013,38,Adults (35-64),M,Australia,New South Wales,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",3,1482,2384,1776,4446,6222,Extra Large,Red,Carbon Fiber,2 Years,Manufacturer C,3,2.32,8,27,True,26.46,UPS,Express,Basic,60 Days
2013-05-13,13,May,2013,33,Young Adults (25-34),F,Germany,Hessen,Accessories,Tires and Tubes,Mountain Tire Tube,9,2,5,24,18,42,Small,Blue,Steel,3 Years,Manufacturer B,1,11.49,1,13,False,74.83,FedEx,Express,Premium,30 Days
2013-01-26,26,January,2013,20,Youth (<25),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375,937,1898,2835,Small,Red,Plastic,Lifetime,Manufacturer A,3,12.71,4,24,True,39.45,UPS,Standard,,30 Days
2013-08-29,29,August,2013,49,Adults (35-64),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,15,16,31,Extra Large,White,Steel,3 Years,Manufacturer B,5,13.16,5,14,False,17.18,DHL,Same Day,Basic,30 Days
2013-04-05,5,April,2013,26,Young Adults (25-34),F,France,Seine Saint Denis,Accessories,Helmets,"Sport-100 Helmet, Black",15,13,35,236,195,431,Large,Black,Aluminum,2 Years,Manufacturer B,3,11.35,2,27,False,5.53,DHL,Same Day,Basic,60 Days
2013-12-13,13,December,2013,54,Adults (35-64),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",6,13,35,128,78,206,Large,Blue,Steel,3 Years,Manufacturer B,5,11.84,4,13,True,50.3,Posti,Same Day,Basic,7 Days
2013-11-01,1,November,2013,50,Adults (35-64),M,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,20,20,40,Medium,Red,Aluminum,Lifetime,Manufacturer D,3,12.03,5,3,False,95.12,GLS,Express,Basic,7 Days
2013-07-02,2,July,2013,22,Youth (<25),M,Australia,Victoria,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,41,30,71,Large,Green,Carbon Fiber,Lifetime,Manufacturer C,1,6.13,5,13,False,30.8,DHL,Next Day,,7 Days
2013-09-20,20,September,2013,22,Youth (<25),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Silver, 52",1,308,565,251,308,559,Large,Blue,Steel,2 Years,Manufacturer B,5,7.4,1,20,True,29.36,UPS,Express,Premium,30 Days
2013-01-24,24,January,2013,25,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,13,18,31,Extra Large,White,Plastic,2 Years,Manufacturer D,4,8.44,4,5,False,9.73,GLS,Standard,Premium,No Return
2013-12-21,21,December,2013,62,Adults (35-64),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",22,13,35,315,286,601,Large,Black,Plastic,Lifetime,Manufacturer C,5,1.36,7,18,True,39.32,FedEx,Standard,,7 Days
2013-03-03,3,March,2013,31,Young Adults (25-34),M,Germany,Nordrhein-Westfalen,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",7,38,50,39,266,305,Small,Black,Steel,1 Year,Manufacturer A,2,10.25,8,18,False,59.92,GLS,Standard,Basic,No Return
2013-01-18,18,January,2013,32,Young Adults (25-34),F,France,Yveline,Accessories,Tires and Tubes,ML Road Tire,23,9,25,230,207,437,Extra Large,Blue,Aluminum,Lifetime,Manufacturer C,4,5.3,6,11,True,58.41,Posti,Same Day,,No Return
2013-03-12,12,March,2013,17,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,132,487,619,Small,Black,Steel,2 Years,Manufacturer B,2,8.41,4,1,False,92.15,UPS,Same Day,Premium,30 Days
2013-04-16,16,April,2013,50,Adults (35-64),F,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, M",27,9,24,314,243,557,Small,Blue,Plastic,2 Years,Manufacturer B,5,11.93,5,8,False,85.45,UPS,Express,Basic,No Return
2013-10-20,20,October,2013,18,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,46,32,78,Extra Large,Green,Carbon Fiber,Lifetime,Manufacturer C,5,12.76,8,9,True,24.23,FedEx,Next Day,,60 Days
2013-11-15,15,November,2013,29,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,16,2,5,30,32,62,Small,White,Steel,3 Years,Manufacturer D,3,14.15,6,17,True,57.58,FedEx,Express,Basic,No Return
2013-06-06,6,June,2013,43,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",10,9,24,145,90,235,Small,Green,Steel,1 Year,Manufacturer C,1,13.49,7,10,True,56.53,UPS,Next Day,Basic,No Return
2013-12-31,31,December,2013,23,Youth (<25),F,France,Seine Saint Denis,Accessories,Tires and Tubes,Touring Tire,21,11,29,268,231,499,Large,Black,Carbon Fiber,3 Years,Manufacturer A,1,3.83,2,21,True,92.98,Posti,Standard,Premium,30 Days
2013-12-30,30,December,2013,29,Young Adults (25-34),F,United States,California,Accessories,Fenders,Fender Set - Mountain,29,8,22,393,232,625,Large,Green,Carbon Fiber,1 Year,Manufacturer B,5,1.69,1,8,False,25.87,UPS,Next Day,Premium,30 Days
2013-10-08,8,October,2013,28,Young Adults (25-34),F,France,Nord,Accessories,Fenders,Fender Set - Mountain,9,8,22,100,72,172,Extra Large,Red,Carbon Fiber,2 Years,Manufacturer A,3,0.89,4,23,False,13.95,UPS,Express,,No Return
2013-06-26,26,June,2013,42,Adults (35-64),F,Canada,British Columbia,Clothing,Vests,"Classic Vest, L",1,24,64,39,24,63,Medium,Green,Steel,3 Years,Manufacturer B,4,2.67,8,20,True,41.21,UPS,Standard,Premium,30 Days
2013-08-04,4,August,2013,41,Adults (35-64),F,France,Hauts de Seine,Accessories,Tires and Tubes,Road Tire Tube,21,1,4,57,21,78,Small,White,Plastic,3 Years,Manufacturer A,5,11.59,2,29,True,75.66,GLS,Express,Premium,No Return
2013-03-12,12,March,2013,61,Adults (35-64),M,United States,California,Clothing,Caps,AWC Logo Cap,17,7,9,31,119,150,Extra Large,Green,Steel,3 Years,Manufacturer B,1,1.85,8,5,True,24.91,DHL,Express,,60 Days
2013-01-12,12,January,2013,19,Youth (<25),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,6,8,22,83,48,131,Extra Large,Green,Carbon Fiber,Lifetime,Manufacturer C,3,4.09,7,19,True,44.99,UPS,Next Day,Premium,7 Days
2013-09-26,26,September,2013,20,Youth (<25),M,United States,California,Accessories,Fenders,Fender Set - Mountain,12,8,22,163,96,259,Medium,Blue,Aluminum,1 Year,Manufacturer A,4,12.52,5,8,True,88.18,UPS,Express,,7 Days
2013-06-21,21,June,2013,46,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,14,2,5,41,28,69,Medium,Blue,Carbon Fiber,2 Years,Manufacturer C,5,3.74,3,7,False,31.5,Posti,Standard,,30 Days
2013-07-22,22,July,2013,34,Young Adults (25-34),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4,Extra Large,Green,Carbon Fiber,1 Year,Manufacturer C,3,5.15,1,0,False,30.83,FedEx,Standard,Basic,No Return
2013-06-09,9,June,2013,38,Adults (35-64),F,Canada,British Columbia,Bikes,Touring Bikes,"Touring-1000 Yellow, 60",1,1482,2384,878,1482,2360,Medium,Black,Aluminum,3 Years,Manufacturer C,3,4.21,3,21,False,74.69,GLS,Standard,Basic,No Return
2013-04-19,19,April,2013,35,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,499,1083,1582,Large,Blue,Plastic,1 Year,Manufacturer D,2,13.17,7,21,True,23.37,UPS,Next Day,,30 Days
2013-12-31,31,December,2013,29,Young Adults (25-34),M,France,Nord,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,249,420,669,Small,Blue,Carbon Fiber,3 Years,Manufacturer A,3,14.84,2,17,True,34.97,FedEx,Standard,Basic,7 Days
2013-09-06,6,September,2013,21,Youth (<25),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8,Large,White,Steel,2 Years,Manufacturer B,5,12.41,8,17,True,92.12,DHL,Next Day,Basic,No Return
